word,Best_Counter_Category
anise,Nuclear Bomb
annex,Nuclear Bomb
annexa,Nuclear Bomb
annotator,Gun
announcement,Logic
announcer,Gun
annual,Nuclear Bomb
annunciation,Nuclear Bomb
annunciator,Nuclear Bomb
anode,Nuclear Bomb
anodyne,Nuclear Bomb
anonym,Nuclear Bomb
anopheline,Nuclear Bomb
anorectic,Nuclear Bomb
answer,Nuclear Bomb
answerer,Gun
ante,Nuclear Bomb
anteater,Nuclear Bomb
antecedence,Nuclear Bomb
antecedent,Nuclear Bomb
antediluvian,Nuclear Bomb
anteroom,Nuclear Bomb
anthill,Nuclear Bomb
antic,Nuclear Bomb
antimalarial,Nuclear Bomb
antimycotic,Nuclear Bomb
antipyretic,Nuclear Bomb
antispasmodic,Nuclear Bomb
antitoxin,Nuclear Bomb
antivenin,Nuclear Bomb
anxiety,Logic
apathy,Logic
ape,Gun
aper,Nuclear Bomb
aperea,Nuclear Bomb
aperient,Nuclear Bomb
aphanite,Nuclear Bomb
aphesis,Nuclear Bomb
aplomb,Logic
apologetics,Nuclear Bomb
aponeurosis,Nuclear Bomb
apoplexy,Nuclear Bomb
apostasy,Nuclear Bomb
apostate,Nuclear Bomb
appeal,Logic
appellative,Nuclear Bomb
appendicectomy,Nuclear Bomb
apperception,Nuclear Bomb
applesauce,Nuclear Bomb
applicator,Nuclear Bomb
applique,Nuclear Bomb
appointment,Nuclear Bomb
apposition,Nuclear Bomb
apprehensiveness,Nuclear Bomb
approach,Nuclear Bomb
appropriator,Gun
appurtenance,Nuclear Bomb
apsides,Nuclear Bomb
aqua,Nuclear Bomb
arbitrement,Nuclear Bomb
arborolatry,Nuclear Bomb
arch,Nuclear Bomb
archaicism,Nuclear Bomb
arches,Nuclear Bomb
archipelago,Nuclear Bomb
archive,Nuclear Bomb
ardor,Logic
arguer,Nuclear Bomb
arithmetician,Nuclear Bomb
arles,Earthquake
armful,Antimatter
armlet,Antimatter
arpent,Time
arrival,Logic
arrogance,Logic
arsenate,Cure
article,Sword
artificer,Gun
ascendant,Sword
ascendent,Antimatter
asceticism,Antimatter
asdic,Sound
ash,Logic
aside,Antimatter
asparagus,Sword
asperity,Antimatter
aspirant,Antimatter
assault,Logic
assembly,Logic
assent,Logic
asseveration,Antimatter
associate,Logic
assurance,Logic
astonishment,Logic
astor,Antimatter
astringent,Logic
attack,Logic
attacker,Gun
attempt,Logic
attendant,Logic
attractiveness,Logic
attribute,Antimatter
audition,Antimatter
auger,Antimatter
augur,Antimatter
autobiography,Antimatter
autobus,Antimatter
autochthon,Antimatter
autoerotism,Time
auxiliary,Antimatter
avail,Time
avariciousness,Time
average,Antimatter
averment,Antimatter
avocado,Sword
avoidance,Logic
avowal,Antimatter
avower,Antimatter
award,Logic
awe,Time
ax,Antimatter
azure,Antimatter
babbitt,Antimatter
babble,Logic
bach,Antimatter
back,Antimatter
backdown,Antimatter
backhand,Sword
backspace,Antimatter
backup,Antimatter
badge,Logic
badger,Logic
baffle,Antimatter
bag,Antimatter
bagful,Antimatter
baggageman,Gun
bairn,Earthquake
bait,Logic
baize,Antimatter
bakehouse,Earthquake
bakeshop,Earthquake
balance,Logic
balata,Antimatter
bale,Logic
balk,Logic
balker,Antimatter
ball,Sword
balladeer,Antimatter
ballup,Antimatter
band,Antimatter
bandbox,Antimatter
baneberry,Antimatter
bang,Logic
banging,Antimatter
bankrupt,Logic
banns,Antimatter
bantam,Antimatter
bap,Antimatter
bar,Earthquake
barb,Logic
barbecue,Earthquake
barbel,Antimatter
barbitone,Antimatter
bargain,Logic
barge,Antimatter
bargeman,Sword
barnful,Antimatter
barrack,Earthquake
barrage,Antimatter
barrelful,Antimatter
barretter,Antimatter
barrier,Logic
barrow,Logic
base,Logic
baseball,Sword
bash,Antimatter
basil,Sword
basket,Sword
basketball,Logic
basketful,Antimatter
basset,Sword
batrachian,Gun
bats,Sword
batten,Antimatter
bdellium,Antimatter
beach,Logic
beacon,Antimatter
beadsman,Sword
beam,Logic
beano,Antimatter
bear,Logic
beat,Antimatter
beatification,Time
beating,Logic
beatitude,Antimatter
beau,Antimatter
beauteousness,Antimatter
bedside,Earthquake
beeline,Earthquake
beggar,Logic
beguiler,Antimatter
behalf,Antimatter
being,Time
belch,Cure
belief,Time
believability,Time
bell,Sword
belle,Antimatter
belligerent,Logic
belling,Antimatter
bellman,Sword
bellow,Antimatter
bellyache,Sword
bellyful,Sword
beloved,Sword
belt,Logic
bemusement,Antimatter
bend,Antimatter
benefactor,Logic
beneficence,Antimatter
benefit,Logic
benevolence,Logic
benison,Antimatter
benjamin,Antimatter
bent,Antimatter
berg,Earthquake
best,Time
bestiary,Antimatter
bet,Antimatter
bethel,Antimatter
betrothed,Logic
better,Time
betterment,Logic
betters,Time
bevel,Antimatter
bewilderment,Logic
bewitchment,Antimatter
bibliopolist,Gun
bicentennial,Antimatter
bicycler,Sword
bicyclist,Gun
bid,Antimatter
biff,Antimatter
bighorn,Antimatter
bigwig,Antimatter
bijou,Antimatter
bike,Sword
bilberry,Sword
biliousness,Antimatter
billet,Earthquake
billow,Antimatter
bin,Antimatter
binary,Antimatter
binge,Antimatter
bingo,Antimatter
birth,Logic
birthplace,Logic
bit,Antimatter
bite,Logic
blabber,Sword
black,Antimatter
blackball,Antimatter
blackening,Antimatter
blackguard,Antimatter
blackthorn,Antimatter
blame,Logic
blank,Antimatter
blanket,Logic
blare,Antimatter
blast,Logic
blather,Logic
blatherskite,Antimatter
blaze,Logic
blazon,Sword
bleach,Antimatter
bleat,Antimatter
blemish,Logic
blend,Antimatter
blennioid,Antimatter
blight,Logic
blighter,Antimatter
blind,Sword
blindfold,Logic
blink,Antimatter
blister,Logic
bloat,Antimatter
blob,Logic
block,Antimatter
blockhead,Antimatter
bloke,Antimatter
bloom,Logic
blossom,Logic
blot,Logic
blotch,Antimatter
blow,Antimatter
blowhard,Antimatter
blowup,Antimatter
blubber,Antimatter
bludgeon,Antimatter
bluff,Logic
blunder,Logic
blunderer,Sword
blur,Logic
blush,Logic
bluster,Antimatter
blusterer,Sword
board,Logic
boast,Logic
boaster,Sword
boatbuilder,Sword
boater,Sword
boating,Antimatter
boatload,Antimatter
boatman,Sword
bobble,Antimatter
bobtail,Antimatter
boding,Antimatter
bog,Logic
boil,Logic
boliviano,Antimatter
bolster,Logic
bolt,Antimatter
bomb,Logic
bombshell,Antimatter
bondsman,Sword
bone,Time
bonehead,Time
bong,Time
boo,Logic
book,Sword
bookie,Sword
booklover,Gun
bookmark,Sword
bookstall,Earthquake
boom,Antimatter
boost,Antimatter
boot,Sword
bootblack,Antimatter
bootleg,Earthquake
bootlicker,Sword
bop,Antimatter
borate,Antimatter
bordello,Antimatter
border,Antimatter
borderline,Antimatter
bore,Logic
borrower,Logic
bosk,Antimatter
boss,Antimatter
bosun,Antimatter
botch,Antimatter
botcher,Antimatter
bother,Logic
botheration,Antimatter
bottle,Sword
bottleful,Antimatter
bottom,Logic
bounce,Antimatter
bound,Logic
bounder,Antimatter
bout,Logic
bovine,Logic
bow,Sword
bower,Sword
bowl,Sword
bowleg,Earthquake
bowlful,Antimatter
bowls,Antimatter
box,Antimatter
boxful,Antimatter
boy,Sword
boycott,Logic
bra,Sword
brace,Sword
bracing,Antimatter
bracket,Antimatter
brae,Antimatter
brag,Logic
braggart,Antimatter
bragger,Sword
braid,Antimatter
brainpan,Flame
brake,Antimatter
brand,Antimatter
bravery,Logic
bravo,Antimatter
brawl,Logic
bray,Antimatter
brazil,Earthquake
brazilwood,Antimatter
breach,Logic
break,Logic
breakaway,Antimatter
breather,Antimatter
breech,Antimatter
breed,Antimatter
bregmata,Antimatter
brethren,Antimatter
brew,Antimatter
bribe,Logic
brick,Sword
brickfield,Earthquake
brickyard,Earthquake
bricole,Antimatter
bridge,Earthquake
bridle,Antimatter
brief,Antimatter
brill,Antimatter
brim,Antimatter
briss,Antimatter
bristle,Logic
britten,Antimatter
broach,Antimatter
broadcast,Antimatter
broadcaster,Antimatter
broadside,Logic
brogue,Antimatter
broil,Logic
brood,Antimatter
brook,Antimatter
brooklime,Antimatter
brothel,Logic
brother,Logic
brown,Antimatter
bruin,Antimatter
brunch,Antimatter
brush,Antimatter
brushes,Antimatter
brute,Logic
bubble,Antimatter
buck,Logic
buckaroo,Antimatter
bucket,Antimatter
bucketful,Antimatter
buckle,Antimatter
buckler,Antimatter
buckram,Antimatter
bucolic,Antimatter
buddy,Logic
budget,Logic
buff,Antimatter
buffalo,Antimatter
buffet,Logic
bugger,Antimatter
buggy,Antimatter
bugle,Logic
build,Logic
building,Logic
bulge,Antimatter
bulk,Antimatter
bulletin,Antimatter
bullhorn,Antimatter
bully,Logic
bum,Logic
bump,Antimatter
bumpkin,Antimatter
bunce,Antimatter
bunch,Antimatter
bundle,Antimatter
bung,Antimatter
bunk,Earthquake
bunkum,Antimatter
buoy,Logic
burden,Antimatter
burgoo,Antimatter
burlesque,Logic
burn,Antimatter
burnsides,Antimatter
burp,Antimatter
burrow,Antimatter
burst,Antimatter
burton,Antimatter
businessman,Antimatter
buss,Logic
bust,Antimatter
buster,Antimatter
bustle,Antimatter
butcher,Logic
butt,Logic
butter,Antimatter
butterfat,Antimatter
butterfingers,Antimatter
butterfly,Antimatter
buttermilk,Antimatter
buttinsky,Antimatter
button,Antimatter
buttonhole,Antimatter
buttress,Gun
buyer,Antimatter
bygone,Antimatter
bypass,Antimatter
cabby,Antimatter
cabin,Earthquake
cable,Logic
caboodle,Antimatter
cackle,Antimatter
cad,Logic
caddy,Antimatter
cage,Logic
caisson,Antimatter
caitiff,Antimatter
cake,Antimatter
calender,Antimatter
call,Antimatter
callithump,Antimatter
calm,Logic
camp,Antimatter
campaigner,Antimatter
camper,Antimatter
can,Antimatter
cancroid,Antimatter
candlemaker,Antimatter
candys,Antimatter
cane,Logic
canful,Antimatter
canine,Antimatter
canister,Antimatter
cannonade,Antimatter
cant,Antimatter
cantaloupe,Antimatter
canteen,Earthquake
canvass,Antimatter
caper,Antimatter
capes,Antimatter
capful,Antimatter
capitalization,Antimatter
captivation,Antimatter
captive,Logic
capturer,Antimatter
car,Antimatter
cardiogram,Antimatter
cardiography,Antimatter
care,Antimatter
carefulness,Antimatter
caress,Logic
carminative,Antimatter
carnelian,Antimatter
caroler,Antimatter
carom,Antimatter
carouse,Antimatter
carp,Antimatter
carping,Antimatter
cart,Antimatter
carver,Antimatter
carving,Antimatter
cascade,Logic
cashier,Logic
casket,Logic
castigation,Antimatter
catalogue,Antimatter
cataloguer,Antimatter
catapult,Antimatter
catcall,Sound
catchall,Antimatter
catechu,Antimatter
categorem,Antimatter
caterwaul,Antimatter
catharsis,Antimatter
catmint,Antimatter
cattleman,Antimatter
cause,Antimatter
caution,Logic
cautiousness,Antimatter
cavalier,Antimatter
cave,Earthquake
caveat,Antimatter
cavil,Antimatter
caw,Antimatter
ce,Antimatter
cedilla,Antimatter
celerity,Antimatter
celestite,Antimatter
cement,Logic
censor,Logic
censure,Logic
centenarian,Gun
centennial,Antimatter
center,Logic
ceramist,Gun
cerise,Antimatter
ceruse,Antimatter
chafe,Antimatter
chafeweed,Antimatter
chagrin,Logic
chain,Antimatter
chaja,Antimatter
chalice,Antimatter
challenge,Logic
chambermaid,Sword
champ,Sword
champion,Logic
chance,Logic
chang,Time
change,Logic
changer,Antimatter
chant,Logic
chap,Antimatter
chaperon,Antimatter
char,Antimatter
characteristic,Antimatter
charm,Logic
charnel,Antimatter
chart,Logic
chartreuse,Antimatter
chase,Logic
chat,Antimatter
chatter,Antimatter
chauvinism,Antimatter
chaw,Antimatter
cheat,Logic
check,Antimatter
cheekiness,Antimatter
cheep,Antimatter
cheer,Logic
cheerfulness,Logic
cheerlessness,Antimatter
cheesemonger,Antimatter
chelonian,Gun
chemical,Antimatter
chemist,Logic
chervil,Antimatter
chester,Antimatter
chew,Antimatter
chewer,Antimatter
chic,Antimatter
chicken,Logic
chief,Antimatter
chiliasm,Antimatter
chill,Antimatter
chime,Antimatter
chiropody,Antimatter
chiropteran,Antimatter
chirp,Logic
chirrup,Antimatter
chisel,Logic
chock,Antimatter
chooser,Antimatter
chop,Logic
chortle,Antimatter
chow,Antimatter
chronicle,Logic
chronicler,Sword
chuckle,Logic
chug,Antimatter
chum,Antimatter
chump,Antimatter
chunk,Antimatter
churchgoer,Sword
churn,Antimatter
cinch,Antimatter
cinerarium,Antimatter
cinque,Antimatter
cipher,Antimatter
circumlocution,Time
clabber,Antimatter
clack,Antimatter
claim,Antimatter
clam,Antimatter
clamp,Antimatter
clamshell,Antimatter
clank,Antimatter
clap,Logic
clarinetist,Gun
clarion,Antimatter
clash,Logic
clasp,Antimatter
classifier,Antimatter
clatter,Time
claw,Logic
clean,Logic
cleaner,Time
clear,Time
cleat,Antimatter
cleft,Antimatter
clergyman,Sword
cleric,Sword
cleverness,Logic
clianthus,Antimatter
click,Antimatter
climb,Antimatter
climbing,Antimatter
clink,Antimatter
clip,Antimatter
clips,Antimatter
clive,Antimatter
clivers,Antimatter
cloak,Antimatter
cloakmaker,Antimatter
clobber,Antimatter
clock,Logic
clod,Antimatter
clodhopper,Sword
clog,Water
cloister,Logic
clone,Antimatter
clop,Antimatter
closer,Antimatter
closet,Earthquake
clot,Antimatter
cloture,Antimatter
cloud,Antimatter
clown,Logic
club,Antimatter
cluck,Antimatter
clump,Logic
clunk,Antimatter
clutch,Antimatter
coach,Logic
coast,Logic
coat,Antimatter
coauthor,Antimatter
cobble,Earthquake
cockiness,Antimatter
cockle,Antimatter
cockscomb,Antimatter
cockup,Antimatter
coconspirator,Antimatter
cod,Antimatter
codger,Antimatter
coeval,Antimatter
coffee,Antimatter
coffeehouse,Earthquake
coffeepot,Antimatter
coffer,Antimatter
cog,Antimatter
cogwheel,Antimatter
coif,Antimatter
coil,Antimatter
coin,Antimatter
cold,Logic
collapse,Logic
collar,Antimatter
collect,Antimatter
collective,Antimatter
colleen,Antimatter
collywobbles,Antimatter
colonial,Antimatter
colonist,Gun
colophony,Antimatter
coltsfoot,Antimatter
comb,Antimatter
combat,Logic
combustible,Antimatter
comedown,Antimatter
comestible,Antimatter
comfort,Logic
comfortableness,Antimatter
comforter,Antimatter
comic,Antimatter
command,Antimatter
comment,Antimatter
commercial,Antimatter
commination,Antimatter
commission,Logic
common,Antimatter
commonplace,Logic
commune,Antimatter
communique,Antimatter
commute,Logic
compact,Logic
compactness,Antimatter
compass,Logic
compasses,Antimatter
compassion,Logic
compeer,Antimatter
complaint,Logic
complement,Logic
complex,Antimatter
compliment,Logic
composite,Antimatter
compost,Logic
compound,Antimatter
compress,Logic
compromise,Antimatter
con,Antimatter
conceiver,Antimatter
concentrate,Antimatter
concern,Antimatter
concomitant,Antimatter
concrete,Antimatter
condemnation,Logic
condition,Antimatter
conduct,Antimatter
confab,Antimatter
confectionary,Antimatter
confectioner,Sword
confederate,Logic
conferrer,Sword
confessional,Logic
conflict,Logic
confrere,Antimatter
confuter,Sword
conglomerate,Logic
conima,Antimatter
conjecture,Logic
conk,Antimatter
connective,Logic
connoisseur,Logic
conscientiousness,Antimatter
conscript,Antimatter
conservative,Antimatter
console,Logic
consomme,Antimatter
consort,Logic
constant,Logic
consternation,Logic
constituent,Antimatter
constitutionalist,Gun
construct,Logic
contact,Logic
contemplative,Antimatter
contemporary,Antimatter
contemptibility,Antimatter
content,Logic
contest,Antimatter
contestant,Sword
contingent,Logic
continuation,Logic
contour,Logic
contraceptive,Antimatter
contract,Antimatter
contractility,Antimatter
contradictoriness,Antimatter
contrary,Logic
contrast,Antimatter
contrition,Antimatter
control,Antimatter
convener,Sword
converse,Antimatter
convert,Logic
convertible,Antimatter
convict,Logic
convoy,Antimatter
coo,Antimatter
cook,Antimatter
cookbook,Antimatter
cooler,Antimatter
coop,Logic
coot,Antimatter
copalite,Antimatter
copper,Antimatter
copula,Disease
copy,Logic
coquille,Antimatter
cord,Antimatter
cordial,Antimatter
cordiality,Antimatter
cordon,Antimatter
corduroy,Antimatter
corker,Antimatter
corkscrew,Antimatter
corner,Antimatter
corporal,Logic
corposant,Antimatter
corps,Antimatter
corral,Antimatter
corrective,Logic
correlate,Antimatter
corrosive,Logic
cosh,Antimatter
cosmetic,Antimatter
cosmographist,Gun
cosmolatry,Antimatter
cosmopolitan,Logic
costmary,Antimatter
coucal,Antimatter
couch,Logic
cough,Logic
counsel,Logic
count,Logic
counter,Antimatter
counterattack,Antimatter
counterbalance,Antimatter
counterblast,Antimatter
counterbore,Antimatter
countercharge,Antimatter
counterfeit,Antimatter
countermine,Antimatter
countermove,Antimatter
counterpoise,Antimatter
counterpunch,Antimatter
countersign,Antimatter
counting,Antimatter
couple,Antimatter
courageousness,Antimatter
courser,Antimatter
cover,Logic
covering,Antimatter
covert,Antimatter
covetousness,Antimatter
cowl,Antimatter
cowpuncher,Antimatter
cowshed,Antimatter
crab,Antimatter
crack,Logic
crackerjack,Antimatter
crackle,Antimatter
crackling,Antimatter
crackpot,Antimatter
cradle,Logic
crake,Antimatter
cramp,Logic
crane,Antimatter
crank,Logic
crap,Logic
craps,Logic
crash,Logic
crate,Antimatter
crateful,Antimatter
crater,Antimatter
craven,Antimatter
crawl,Logic
craze,Antimatter
craziness,Antimatter
creak,Antimatter
creaminess,Antimatter
credence,Logic
creel,Antimatter
creep,Logic
creepiness,Antimatter
crematory,Earthquake
crescent,Antimatter
crest,Antimatter
crib,Antimatter
crick,Antimatter
cricketer,Antimatter
crier,Antimatter
criminal,Logic
crimp,Antimatter
crimson,Antimatter
crinkle,Antimatter
cripple,Logic
crisscross,Antimatter
crith,Antimatter
critique,Logic
croak,Antimatter
crochet,Antimatter
crock,Antimatter
crocodilian,Gun
crook,Logic
crop,Disease
cross,Logic
crossbeam,Antimatter
crossbreed,Antimatter
crosshatch,Antimatter
crossing,Antimatter
crosspatch,Antimatter
crossways,Antimatter
crouch,Logic
crow,Antimatter
crowd,Earthquake
crown,Antimatter
crucifix,Antimatter
cruise,Earthquake
crunch,Logic
crusade,Logic
crush,Antimatter
cry,Logic
cuddle,Logic
cudgel,Antimatter
cue,Logic
cuff,Antimatter
cull,Logic
cuneiform,Antimatter
cunning,Logic
cup,Antimatter
cupboard,Antimatter
cupful,Antimatter
cur,Logic
curb,Antimatter
curbing,Antimatter
cure,Antimatter
curl,Logic
current,Antimatter
curse,Logic
curvaceousness,Antimatter
curve,Antimatter
cushion,Logic
cuspidor,Antimatter
cuss,Antimatter
custom,Antimatter
cut,Antimatter
cuteness,Antimatter
cutoff,Antimatter
cutout,Antimatter
cutting,Logic
cuttle,Antimatter
cycle,Antimatter
cynicism,Antimatter
cypre,Antimatter
cyrus,Antimatter
cytolysin,Antimatter
dab,Antimatter
daffodil,Antimatter
dairy,Antimatter
dallier,Antimatter
dalton,Antimatter
damage,Logic
damascene,Antimatter
dame,Logic
damn,Logic
damp,Antimatter
dance,Logic
dandy,Logic
dandyism,Antimatter
dangerousness,Antimatter
dapple,Antimatter
dare,Logic
daredevil,Antimatter
daring,Logic
darkening,Antimatter
darling,Logic
darn,Earthquake
darner,Antimatter
dart,Logic
darts,Antimatter
das,Antimatter
dash,Antimatter
dastard,Antimatter
data,Antimatter
date,Antimatter
dative,Antimatter
datum,Antimatter
daub,Antimatter
dauber,Antimatter
daughter,Logic
daw,Antimatter
daystar,Antimatter
daytimes,Antimatter
daze,Antimatter
dazzle,Antimatter
deadbeat,Antimatter
deadening,Antimatter
deal,Logic
dealing,Antimatter
debate,Logic
debauch,Antimatter
debauchee,Antimatter
debit,Antimatter
debut,Antimatter
decay,Logic
decease,Antimatter
deceased,Logic
deceiver,Antimatter
deceptiveness,Antimatter
decisiveness,Antimatter
deck,Earthquake
deckle,Antimatter
declaration,Antimatter
declension,Antimatter
decline,Logic
decoy,Logic
decrease,Logic
decree,Antimatter
decrement,Logic
deed,Logic
deep,Antimatter
deepening,Antimatter
defeat,Logic
defeatism,Antimatter
defeatist,Gun
defect,Logic
defile,Antimatter
deflector,Antimatter
defrauder,Antimatter
deftness,Antimatter
degenerate,Logic
dekko,Antimatter
delay,Logic
delegate,Logic
delf,Antimatter
delight,Logic
delinquent,Logic
deluge,Logic
demand,Logic
demander,Antimatter
demantoid,Antimatter
demigod,Antimatter
demoniac,Antimatter
demonolatry,Antimatter
demonstration,Antimatter
demonstrative,Logic
demulcent,Antimatter
denouncement,Antimatter
density,Antimatter
dent,Antimatter
dependableness,Antimatter
dependent,Logic
deposit,Antimatter
depository,Logic
derelict,Logic
desert,Logic
desiderata,Antimatter
design,Antimatter
despair,Logic
despisal,Antimatter
despondency,Antimatter
despotism,Logic
detail,Antimatter
detainment,Earthquake
determinative,Antimatter
determiner,Antimatter
deterrent,Antimatter
detestation,Antimatter
detriment,Logic
deviant,Antimatter
deviate,Antimatter
devourer,Antimatter
devoutness,Antimatter
dewlap,Antimatter
diabetic,Antimatter
diaereses,Antimatter
diaeresis,Antimatter
diagonal,Antimatter
dial,Antimatter
diaphoretic,Antimatter
diatribe,Logic
dibble,Antimatter
dicta,Antimatter
dictate,Antimatter
dictum,Logic
dieback,Antimatter
diehard,Antimatter
diet,Antimatter
differentiator,Antimatter
dig,Antimatter
digest,Antimatter
digestive,Antimatter
digs,Antimatter
diminutive,Antimatter
dimmer,Antimatter
diner,Antimatter
ding,Antimatter
dingbat,Antimatter
dint,Antimatter
dip,Antimatter
diphthong,Antimatter
diplomatist,Gun
dipper,Antimatter
dirtiness,Antimatter
disadvantage,Antimatter
disapprobation,Antimatter
disavowal,Antimatter
disbeliever,Antimatter
disburser,Antimatter
discharge,Logic
disciplinarian,Antimatter
discipline,Logic
disconnect,Logic
discontent,Logic
discontentment,Antimatter
discount,Antimatter
discredit,Logic
discussion,Logic
disdain,Logic
disengagement,Logic
disesteem,Antimatter
disfavor,Antimatter
disgrace,Logic
disguise,Antimatter
disgust,Logic
dish,Antimatter
dishonor,Logic
dishrag,Antimatter
dishwasher,Antimatter
dishwashing,Antimatter
disillusionment,Logic
dislike,Logic
dismay,Logic
disorder,Logic
disparager,Antimatter
dispatch,Antimatter
dispensary,Antimatter
dispenser,Antimatter
display,Antimatter
dispraise,Antimatter
disproof,Antimatter
disprover,Antimatter
dispute,Logic
disquiet,Antimatter
disregard,Logic
disrespect,Logic
diss,Antimatter
dissent,Antimatter
disservice,Logic
dissolvent,Antimatter
dissyllable,Antimatter
distaff,Antimatter
distich,Antimatter
distiller,Antimatter
distrust,Logic
disyllable,Antimatter
ditch,Earthquake
dither,Antimatter
ditto,Antimatter
dive,Antimatter
divers,Antimatter
divorcement,Antimatter
divvy,Antimatter
dizziness,Logic
do,Antimatter
dobbin,Antimatter
dock,Antimatter
dockside,Antimatter
doctrinaire,Antimatter
document,Antimatter
dodder,Antimatter
doddle,Antimatter
dodge,Antimatter
doer,Logic
doggedness,Antimatter
dogmatism,Antimatter
doings,Antimatter
dole,Logic
dolly,Antimatter
dolphin,Logic
dolt,Antimatter
dominie,Antimatter
don,Logic
donation,Logic
dong,Antimatter
doodad,Antimatter
doodle,Logic
doom,Logic
dooms,Antimatter
doorstop,Earthquake
dose,Antimatter
doss,Antimatter
double,Antimatter
doubling,Antimatter
doubt,Logic
douche,Logic
dove,Logic
dovetail,Antimatter
down,Antimatter
downbeat,Antimatter
downgrade,Antimatter
downpour,Antimatter
downslope,Antimatter
doze,Antimatter
dozen,Antimatter
dozer,Antimatter
dubs,Antimatter
duck,Antimatter
dud,Antimatter
due,Antimatter
duff,Antimatter
duffer,Antimatter
dulse,Antimatter
dummy,Logic
dump,Antimatter
dun,Logic
dunderhead,Antimatter
dunk,Antimatter
dupe,Logic
dupery,Antimatter
duplicate,Antimatter
duplicator,Antimatter
durant,Antimatter
duster,Antimatter
dustpan,Antimatter
dweller,Antimatter
dwelling,Earthquake
dyer,Antimatter
dynamite,Antimatter
eagerness,Logic
earful,Antimatter
earliness,Antimatter
earmark,Antimatter
earner,Antimatter
earnest,Logic
earthling,Antimatter
earwig,Antimatter
ease,Logic
east,Antimatter
easterly,Antimatter
eatage,Antimatter
eater,Antimatter
ebb,Antimatter
ebullition,Antimatter
eccentric,Antimatter
ecclesiastic,Antimatter
echo,Antimatter
eclecticism,Antimatter
ecru,Antimatter
edacity,Antimatter
